# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
19594 2990 0  3014
        1      2953 0.0063352999999999985714
        1      2955 0
        1      2967 0.0050768120406131725386
        1      2977 0.0055555555555555566349
        1      2981 -0.00024249537394650471744
        2      2954 0.0063352999999999985714
        2      2956 0
        2      2968 0.0050768120406131725386
        2      2978 0.0055555555555555566349
        2      2982 -0.00024249537394650471744
        3      2967 -0.00024249537394650471744
        3      2977 0.001111111111111111327
        3      2979 0
        3      2981 0.0035758287072798385087
        3      2985 0.0048343166666666671435
        3      2987 0.0063352999999999985714
        3      2989 0.0066666666666666662272
        4      2968 -0.00024249537394650471744
        4      2978 0.001111111111111111327
        4      2980 0
        4      2982 0.0035758287072798385087
        4      2986 0.0048343166666666671435
        4      2988 0.0063352999999999985714
        4      2990 0.0066666666666666662272
        5        13 0.0033333333333333331136
        5        19 0
        5        21 0.0031749999999999942331
        5        25 0.003016666666666618056
        5        41 6.6678433607858522691e-018
        6        14 0.0033333333333333331136
        6        20 0
        6        22 0.0031749999999999942331
        6        26 0.003016666666666618056
        6        42 6.6678433607858522691e-018
        7         1 0.0031749999999999946668
        7         3 0.0030166666666666171887
        7         5 0.003333333333333333981
        7         7 6.5865281978494394366e-018
        7        19 2.710505431213761085e-020
        8         2 0.0031749999999999946668
        8         4 0.0030166666666666171887
        8         6 0.003333333333333333981
        8         8 6.5865281978494394366e-018
        8        20 2.710505431213761085e-020
       61      2961 3.252606517456513302e-019
       61      2975 0.0063036333333333343515
       61      2979 0.0063194666666666681962
       61      2985 0
       61      2987 0.0063352999999999985714
       62      2962 3.252606517456513302e-019
       62      2976 0.0063036333333333343515
       62      2980 0.0063194666666666681962
       62      2986 0
       62      2988 0.0063352999999999985714
       63      2941 -4.878909776184769953e-019
       63      2945 0.0062720999999999992036
       63      2961 0.0062878666666666676449
       63      2975 0.0063036333333333326168
       63      2979 -2.168404344971008868e-019
       64      2942 -4.878909776184769953e-019
       64      2946 0.0062720999999999992036
       64      2962 0.0062878666666666676449
       64      2976 0.0063036333333333326168
       64      2980 -2.168404344971008868e-019
       65      2921 7.047314121155778821e-019
       65      2925 0.0062407666666666672048
       65      2941 0.0062564333333333353726
       65      2945 0.0062721000000000026731
       65      2961 -4.878909776184769953e-019
       66      2922 7.047314121155778821e-019
       66      2926 0.0062407666666666672048
       66      2942 0.0062564333333333353726
       66      2946 0.0062721000000000026731
       66      2962 -4.878909776184769953e-019
       67      2901 -4.336808689942017736e-019
       67      2905 0.0062095333333333311426
       67      2921 0.0062251500000000004748
       67      2925 0.0062407666666666689395
       67      2941 -4.336808689942017736e-019
       68      2902 -4.336808689942017736e-019
       68      2906 0.0062095333333333311426
       68      2922 0.0062251500000000004748
       68      2926 0.0062407666666666689395
       68      2942 -4.336808689942017736e-019
       69      2881 0
