# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2990 2990 0  59668
        1         1 10465.047605099642169
        1         2 6944.4444642857124563
        1         3 -12277.470876085240889
        1         4 -1851.8518571428562609
        1         5 -1675.9259307142863236
        1         6 -7407.4074285714277721
        1         7 3069.3677190213093127
        1         8 462.96296428571395154
        1         9 1.307398633798584342e-012
        1        10 2.7711166694643907249e-013
        1        19 418.98148267857129667
        1        20 1851.8518571428576251
        2         1 6944.4444642857115468
        2         2 9076.3505477249382238
        2         3 -7407.4074285714268626
        2         4 -2046.2451460142056021
        2         5 -1851.851857142856943
        2         6 -10055.55558428571203
        2         7 1851.8518571428564883
        2         8 511.56128650355140053
        2         9 6.8212102632969617844e-013
        2        10 -1.0658141036401502788e-013
        2        19 462.96296428571412207
        2        20 2513.8888960714284622
        3         1 -12277.470876085240889
        3         2 -7407.4074285714268626
        3         3 27906.793613599049422
        3         4 9259.2592857142863068
        3         5 6.4801497501321136951e-012
        3         6 9259.2592857142844878
        3         7 -12277.470876085240889
        3         8 -1851.8518571428571704
        3         9 -3351.8518614285785588
        3        10 -9259.2592857142881257
        3        19 -8.5265128291212022305e-014
        3        20 -1.0762452759283390682e-012
        4         1 -1851.8518571428571704
        4         2 -2046.2451460142060569
        4         3 9259.2592857142881257
        4         4 24203.601460599849815
        4         5 9259.2592857142881257
        4         6 9.3446169645094887684e-013
        4         7 -7407.4074285714323196
        4         8 -2046.2451460142065116
        4         9 -9259.2592857142881257
        4        10 -20111.111168571434973
        4        19 -2.1221790012127677742e-013
        4        20 -2.2737367544323205948e-013
        5         1 -1675.9259307142858688
        5         2 -1851.8518571428564883
        5         3 6.0254023992456495762e-012
        5         4 9259.2592857142881257
        5         5 27906.793613599045784
        5         6 9259.2592857142826688
        5         7 -4.2632564145606011152e-012
        5         8 0
        5         9 -24554.941752170481777
        5        10 -9259.2592857142881257
        5        19 -1675.9259307142847319
        5        20 -7407.4074285714277721
        6         1 -7407.4074285714277721
        6         2 -10055.555584285713849
        6         3 9259.2592857142844878
        6         4 1.3892090473374129958e-012
        6         5 9259.2592857142844878
        6         6 24203.601460599835264
        6         7 0
        6         8 -6.9633188104489818215e-013
        6         9 -9259.2592857142826688
        6        10 -4092.4902920284125685
        6        19 -1851.8518571428560335
        6        20 -10055.55558428571203
        7         1 3069.3677190213088579
        7         2 1851.8518571428567157
        7         3 -12277.470876085240889
        7         4 -7407.4074285714332291
        7         5 -4.4906300900038331747e-012
        7         6 0
        7         7 20886.445681273020455
        7         8 6944.4444642857124563
        7         9 4.4479975258582271636e-012
        7        10 9259.2592857142899447
        7        11 4.2632564145606011152e-014
        7        12 1.1368683772161602974e-013
        7        15 -12210.012244897816345
        7        16 -1851.8518571428558062
        7        17 -3361.1111207143035244
        7        18 -9259.2592857142844878
        7        19 0
        7        20 -2314.8148214285706672
        7        27 6.8212102632969617844e-013
        7        28 -1.7053025658242404461e-013
        7        35 3052.5030612244531767
        7        36 462.96296428571395154
        7        37 840.27778017857588111
        7        38 2314.8148214285715767
        8         1 462.96296428571395154
        8         2 511.56128650355140053
        8         3 -1851.8518571428571704
        8         4 -2046.2451460142062842
        8         5 0
        8         6 -6.9633188104489818215e-013
        8         7 6944.4444642857124563
        8         8 18185.935433337253926
        8         9 9259.2592857142844878
        8        10 4.2632564145606011152e-014
        8        11 6.8212102632969617844e-013
        8        12 6.53699316899292171e-013
        8        15 -7407.4074285714268626
        8        16 -2035.0020408163015873
        8        17 -9259.2592857142844878
        8        18 -20166.666724285827513
        8        19 -2314.8148214285711219
        8        20 0
        8        27 4.5474735088646411896e-013
        8        28 1.2789769243681803346e-013
        8        35 1851.8518571428564883
        8        36 508.75051020407522628
        8        37 2314.8148214285706672
        8        38 5041.6666810714577878
        9         1 9.0949470177292823792e-013
        9         2 3.4106051316484808922e-013
        9         3 -3351.8518614285776493
        9         4 -9259.2592857142863068
        9         5 -24554.941752170481777
        9         6 -9259.2592857142826688
        9         7 4.1850967136269900948e-012
        9         8 9259.2592857142844878
        9         9 55813.587227198098844
        9        10 18518.518571428572614
        9        11 -3351.8518614285635522
