# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2990 19594 0  3014
        1         7 0.0031749999999999946668
        1       651 6.505213034913026604e-018
        1       653 -1.3552527156068805425e-019
        2         8 0.0031749999999999946668
        2       652 6.505213034913026604e-018
        2       654 -1.3552527156068805425e-019
        3         7 0.0030166666666666171887
        3       651 0.0030166666666667165016
        4         8 0.0030166666666666171887
        4       652 0.0030166666666667165016
        5         7 0.003333333333333333981
        5       653 0.003333333333333333981
        6         8 0.003333333333333333981
        6       654 0.003333333333333333981
        7         7 6.5865281978494394366e-018
        7       649 -1.0435445910172980177e-017
        7       651 0.0030250000000000228963
        8         8 6.5865281978494394366e-018
        8       650 -1.0435445910172980177e-017
        8       652 0.0030250000000000228963
       13         5 0.0033333333333333331136
       13       653 0.0033333333333333326799
       14         6 0.0033333333333333331136
       14       654 0.0033333333333333326799
       15       649 0.0030333333333333687559
       15       651 0.0030333333333333687559
       16       650 0.0030333333333333687559
       16       652 0.0030333333333333687559
       19         5 0
       19         7 2.710505431213761085e-020
       19       653 0.0033333333333333331136
       20         6 0
       20         8 2.710505431213761085e-020
       20       654 0.0033333333333333331136
       21         5 0.0031749999999999942331
       21       355 6.505213034913026604e-018
       21       653 -1.8973538018496327595e-019
       22         6 0.0031749999999999942331
       22       356 6.505213034913026604e-018
       22       654 -1.8973538018496327595e-019
       25         5 0.003016666666666618056
       25       355 0.0030166666666667160679
       26         6 0.003016666666666618056
       26       356 0.0030166666666667160679
       33       647 0.0030466666666666419871
       33       649 0.0030466666666666419871
       34       648 0.0030466666666666419871
       34       650 0.0030466666666666419871
       35       647 -1.7726705520137997496e-017
       35       649 0.0030400000000000344282
       35       651 -1.0462550964485117788e-017
       36       648 -1.7726705520137997496e-017
       36       650 0.0030400000000000344282
       36       652 -1.0462550964485117788e-017
       41         5 6.6678433607858522691e-018
       41       353 -1.0435445910172980177e-017
       41       355 0.0030250000000000224626
       42         6 6.6678433607858522691e-018
       42       354 -1.0435445910172980177e-017
       42       356 0.0030250000000000224626
       45       353 0.0030333333333333687559
       45       355 0.0030333333333333691896
       46       354 0.0030333333333333687559
       46       356 0.0030333333333333691896
       53       645 0.0030633333333332942415
       53       647 0.0030633333333333935544
       54       646 0.0030633333333332942415
       54       648 0.0030633333333333935544
       55       645 1.3118846287074603651e-017
       55       647 0.0030549999999999982551
       55       649 -1.7645390357201584663e-017
       56       646 1.3118846287074603651e-017
       56       648 0.0030549999999999982551
       56       650 -1.7645390357201584663e-017
       61       351 -1.7726705520137997496e-017
       61       353 0.0030400000000000339945
       61       355 -1.0245710529988016901e-017
       62       352 -1.7726705520137997496e-017
       62       354 0.0030400000000000339945
       62       356 -1.0245710529988016901e-017
       65       351 0.0030466666666666419871
       65       353 0.0030466666666666419871
       66       352 0.0030466666666666419871
       66       354 0.0030466666666666419871
       73       643 0.003076666666666567039
       73       645 0.0030766666666666650509
       74       644 0.003076666666666567039
       74       646 0.0030766666666666650509
       75       643 5.9089018400459991653e-018
       75       645 0.0030699999999999616485
       75       647 1.306463617845032843e-017
       76       644 5.9089018400459991653e-018
       76       646 0.0030699999999999616485
       76       648 1.306463617845032843e-017
       81       349 1.3118846287074603651e-017
       81       351 0.0030549999999999978215
       81       353 -1.7835125737386547939e-017
       82       350 1.3118846287074603651e-017
       82       352 0.0030549999999999978215
       82       354 -1.7835125737386547939e-017
       85       349 0.0030633333333332946752
       85       351 0.0030633333333333931207
       86       350 0.0030633333333332946752
       86       352 0.0030633333333333931207
       93       641 0.0030933333333333428924
       93       643 0.0030933333333334422054
       94       642 0.0030933333333333428924
       94       644 0.0030933333333334422054
       95       641 -1.6398557858843254564e-017
       95       643 0.0030850000000000161147
       95       645 5.9089018400459991653e-018
       96       642 -1.6398557858843254564e-017
       96       644 0.0030850000000000161147
       96       646 5.9089018400459991653e-018
      101       347 5.9089018400459991653e-018
      101       349 0.0030699999999999616485
      101       351 1.3010426069826053208e-017
      102       348 5.9089018400459991653e-018
      102       350 0.0030699999999999616485
      102       352 1.3010426069826053208e-017
      105       347 0.003076666666666567039
      105       349 0.0030766666666666650509
      106       348 0.003076666666666567039
      106       350 0.0030766666666666650509
      113       639 0.0031099999999999457072
      113       641 0.0031099999999999461409
      114       640 0.0031099999999999457072
      114       642 0.0031099999999999461409
      115       639 2.4963755021478739593e-017
      115       641 0.0031016666666666614302
      115       643 -1.6479873021779667397e-017
      116       640 2.4963755021478739593e-017
      116       642 0.0031016666666666614302
      116       644 -1.6479873021779667397e-017
      121       345 -1.6398557858843254564e-017
      121       347 0.0030850000000000156811
      121       349 5.6920614055488982785e-018
      122       346 -1.6398557858843254564e-017
      122       348 0.0030850000000000156811
      122       350 5.6920614055488982785e-018
      125       345 0.0030933333333333428924
      125       347 0.003093333333333441338
      126       346 0.0030933333333333428924
      126       348 0.003093333333333441338
      133       637 0.0031266666666667219943
      133       639 0.0031266666666667219943
      134       638 0.0031266666666667219943
      134       640 0.0031266666666667219943
      135       637 2.6562953225894858633e-018
      135       639 0.0031183333333333071793
      135       641 2.4990860075790877204e-017
      136       638 2.6562953225894858633e-018
      136       640 0.0031183333333333071793
      136       642 2.4990860075790877204e-017
      141       343 2.4963755021478739593e-017
      141       345 0.0031016666666666614302
      141       347 -1.6615398293340355451e-017
      142       344 2.4963755021478739593e-017
      142       346 0.0031016666666666614302
      142       348 -1.6615398293340355451e-017
      145       343 0.0031099999999999461409
      145       345 0.0031099999999999457072
      146       344 0.0031099999999999461409
      146       346 0.0031099999999999457072
      153       635 0.0031399999999999947918
      153       637 0.0031399999999999943581
      154       636 0.0031399999999999947918
      154       638 0.0031399999999999943581
      155       635 -4.5536491244391186228e-018
      155       637 0.0031333333333333607783
      155       639 2.6020852139652106416e-018
      156       636 -4.5536491244391186228e-018
      156       638 0.0031333333333333607783
      156       640 2.6020852139652106416e-018
      161       341 2.6562953225894858633e-018
      161       343 0.0031183333333333071793
      161       345 2.4774019641293776317e-017
      162       342 2.6562953225894858633e-018
      162       344 0.0031183333333333071793
      162       346 2.4774019641293776317e-017
      165       341 0.0031266666666667219943
      165       343 0.0031266666666667215606
      166       342 0.0031266666666667219943
      166       344 0.0031266666666667215606
      173       633 0.0031566666666666223263
      173       635 0.0031566666666666223263
      174       634 0.0031566666666666223263
      174       636 0.0031566666666666223263
      175       633 -1.6290137641594704121e-017
      175       635 0.0031483333333333298094
      175       637 -4.6078592330633938445e-018
      176       634 -1.6290137641594704121e-017
      176       636 0.0031483333333333298094
      176       638 -4.6078592330633938445e-018
      181       339 -4.5536491244391186228e-018
      181       341 0.0031333333333333603446
      181       343 2.4936649967166601982e-018
      182       340 -4.5536491244391186228e-018
      182       342 0.0031333333333333603446
      182       344 2.4936649967166601982e-018
      185       339 0.0031399999999999943581
      185       341 0.0031399999999999943581
      186       340 0.0031399999999999943581
      186       342 0.0031399999999999943581
      193       631 0.0031700000000000430091
      193       633 0.0031700000000000430091
      194       632 0.0031700000000000430091
      194       634 0.0031700000000000430091
      195       631 1.3552527156068805425e-017
      195       633 0.0031633333333333361372
      195       635 -1.6235927532970428899e-017
      196       632 1.3552527156068805425e-017
      196       634 0.0031633333333333361372
      196       636 -1.6235927532970428899e-017
      201       337 -1.6290137641594704121e-017
      201       339 0.0031483333333333298094
      201       341 -4.7704895589362195096e-018
      202       338 -1.6290137641594704121e-017
      202       340 0.0031483333333333298094
      202       342 -4.7704895589362195096e-018
      205       337 0.0031566666666666223263
      205       339 0.0031566666666666223263
      206       338 0.0031566666666666223263
      206       340 0.0031566666666666223263
      213       629 0.0031900000000000009945
      213       631 0.0031899999999999025489
      214       630 0.0031900000000000009945
      214       632 0.0031899999999999025489
      215       629 2.7376104855258986959e-018
      215       631 0.0031799999999999818863
      215       633 1.3606737264693080647e-017
      216       630 2.7376104855258986959e-018
      216       632 0.0031799999999999818863
      216       634 1.3606737264693080647e-017
      221       335 1.3606737264693080647e-017
