# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
19594 2990 0  6028
        1      2953 1.0531588793461005554e-023
        1      2954 0.080781611311440473799
        1      2955 -2.2984754125938947721e-024
        1      2956 -1.8981567364694668099e-007
        1      2967 1.8095858571964048856e-023
        1      2968 0.064735876562451277749
        1      2977 -9.6285993439255865704e-032
        1      2978 0.070841147820163513638
        1      2981 4.2028034372753481069e-033
        1      2982 -0.0030921571136610301322
        2      2953 -4.633898823226230256e-026
        2      2954 1.6634130785520175513e-007
        2      2955 1.0113292196022821225e-026
        2      2956 8.3518887222882659994e-010
        2      2967 -7.9621769809665262755e-026
        2      2968 1.40264885945504576e-007
        2      2977 1.4824104193138504615e-032
        2      2978 1.7343210548437589465e-007
        2      2981 -6.4705980415267251086e-034
        2      2982 -7.5701669892774078564e-009
        3      2967 4.2028040605457083533e-033
        3      2968 0.0030922239499635430053
        3      2977 -1.9257201543669041961e-032
        3      2978 -0.014168535807228765933
        3      2979 -1.0026557382000003126e-032
        3      2980 1.9351239777601336733e-007
        3      2981 -6.1974408691552834237e-032
        3      2982 -0.045597831371649841237
        3      2985 1.008680466082980029e-032
        3      2986 -0.061644977418936347524
        3      2987 1.7785869660666672128e-032
        3      2988 -0.080783186341799720354
        3      2989 -1.1554320926201419703e-031
        3      2990 -0.08501121484337256784
        4      2967 6.4669433229504019246e-034
        4      2968 -9.519894366579671157e-009
        4      2977 -2.9631462506336913933e-033
        4      2978 4.3620050292770590987e-008
        4      2979 -1.5356389626666672601e-033
        4      2980 2.2604478123379618437e-009
        4      2981 -9.5361330841961142012e-033
        4      2982 1.4038004524489143419e-007
        4      2985 1.5181621280494670575e-033
        4      2986 1.5768747495768041116e-007
        4      2987 2.7119292320000013131e-033
        4      2988 1.9807748591107678403e-007
        4      2989 -1.7778877503802142886e-032
        4      2990 2.6172030175662342681e-007
        5        13 0.012733498636229610007
        5        14 -7.1802105281667420085e-019
        5        19 -0.00086808500540008900689
        5        20 1.1391165954452931479e-019
        5        21 0.0089710043343150767947
        5        22 -0.04064281446342282722
        5        25 3.798624257333331299e-032
        5        26 -0.078908741995138476089
        5        41 3.7601207466667873956e-033
        5        42 0.00039614782195086014477
        6        13 0.023299940763966360546
        6        14 -1.0379616024242571259e-018
        6        19 -0.0012548920393225192725
        6        20 1.6466916702766595359e-019
        6        21 0.015414646499950742861
        6        22 -0.010379047760229999364
        6        25 5.8061830309998468318e-032
        6        26 -0.015738876232443035907
        6        41 -3.3520218766665672774e-033
        6        42 0.00083653654800275572406
        7         1 0.019066308569955617985
        7         2 0.041972090037163803378
        7         3 1.1983480359370402858e-018
        7         4 0.081740529077892004617
        7         5 0.02664558982621473629
        7         6 1.5410020522411499082e-018
        7         7 -2.9421874190883155404e-020
        7         8 -0.00036727516607225254436
        7        19 -0.0019145045522827486457
        7        20 4.1870782507747619173e-019
        8         1 -0.017582407090819648227
        8         2 -0.014507298745810054408
        8         3 -3.3460235852176166428e-018
        8         4 -0.022861570168557533711
        8         5 -0.028186169701521542746
        8         6 -9.3619569032453473004e-019
        8         7 8.2151663800277127851e-020
        8         8 0.0010255045538436603856
        8        19 0.0011631074133529582283
        8        20 -2.5437504172859759855e-019
       61      2961 -1.0400738476666673269e-032
       61      2962 1.9199604871320691268e-007
       61      2975 2.0667202450000010775e-032
       61      2976 -0.080374738328463118942
       61      2979 2.959645753333360504e-034
       61      2980 -0.080578570761288714763
       61      2985 1.0026557382000003126e-032
       61      2986 -1.9351239777601336733e-007
       61      2987 -2.2320359867333334902e-032
       61      2988 -0.0807824122922086163
       62      2961 -1.5826690366666675839e-033
       62      2962 7.1544994892414617902e-010
       62      2975 3.1242121833333348989e-033
       62      2976 1.9244616119268078166e-007
       62      2979 -1.211699566666749534e-035
       62      2980 2.0441771276679628091e-007
       62      2985 1.5356389626666672601e-033
