# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
19594 19594 0  1802
        1         1 0.013557522222222225666
        1       357 0.0031676500000000001531
        2         2 0.013557522222222225666
        2       358 0.0031676500000000001531
        3         3 0.019113077777777778832
        3        61 0.0031676500000000001531
        4         4 0.019113077777777778832
        4        62 0.0031676500000000001531
        5         5 0.0063499999999999390266
        5       355 0.0015083333333333465414
        5       653 0.0016666666666666661231
        6         6 0.0063499999999999390266
        6       356 0.0015083333333333465414
        6       654 0.0016666666666666661231
        7         7 0.0063499999999999390266
        7       651 0.0015083333333333465414
        7       653 0.0016666666666666667736
        8         8 0.0063499999999999390266
        8       652 0.0015083333333333465414
        8       654 0.0016666666666666667736
       61         3 0.0031676500000000001531
       61        61 0.012638933333333334658
       61        63 0.0031518166666666667421
       62         4 0.0031676500000000001531
       62        62 0.012638933333333334658
       62        64 0.0031518166666666667421
       63        61 0.0031518166666666667421
       63        63 0.01257573333333333182
       63        65 0.0031360499999999987344
       64        62 0.0031518166666666667421
       64        64 0.01257573333333333182
       64        66 0.0031360499999999987344
       65        63 0.0031360499999999987344
       65        65 0.012512866666666674215
       65        67 0.0031203833333333340361
       66        64 0.0031360499999999987344
       66        66 0.012512866666666674215
       66        68 0.0031203833333333340361
       67        65 0.0031203833333333340361
       67        67 0.01245030000000000095
       67        69 0.0031047666666666655713
       68        66 0.0031203833333333340361
       68        68 0.01245030000000000095
       68        70 0.0031047666666666655713
       69        67 0.0031047666666666655713
       69        69 0.012388199999999998518
       69        71 0.0030893333333333328206
       70        68 0.0031047666666666655713
       70        70 0.012388199999999998518
       70        72 0.0030893333333333328206
       71        69 0.0030893333333333328206
       71        71 0.012325999999999996681
       71        73 0.0030736666666666676885
       72        70 0.0030893333333333328206
       72        72 0.012325999999999996681
       72        74 0.0030736666666666676885
       73        71 0.0030736666666666676885
       73        73 0.012264333333333326745
       73        75 0.0030585000000000021891
       74        72 0.0030736666666666676885
       74        74 0.012264333333333326745
       74        76 0.0030585000000000021891
       75        73 0.0030585000000000021891
       75        75 0.012203333333333329924
       75        77 0.0030431666666666671098
       76        74 0.0030585000000000021891
       76        76 0.012203333333333329924
       76        78 0.0030431666666666671098
       77        75 0.0030431666666666671098
       77        77 0.012141999999999994811
       77        79 0.0030278333333333328978
       78        76 0.0030431666666666671098
       78        78 0.012141999999999994811
       78        80 0.0030278333333333328978
       79        77 0.0030278333333333328978
       79        79 0.012081333333333346691
       79        81 0.0030128333333333326416
       80        78 0.0030278333333333328978
       80        80 0.012081333333333346691
       80        82 0.0030128333333333326416
       81        79 0.0030128333333333326416
       81        81 0.012020999999999984822
       81        83 0.0029976666666666680096
       82        80 0.0030128333333333326416
       82        82 0.012020999999999984822
       82        84 0.0029976666666666680096
       83        81 0.0029976666666666680096
       83        83 0.01196100000000000288
       83        85 0.0029828333333333347313
       84        82 0.0029976666666666680096
       84        84 0.01196100000000000288
       84        86 0.0029828333333333347313
       85        83 0.0029828333333333347313
       85        85 0.011901333333333347086
       85        87 0.0029678333333333279699
       86        84 0.0029828333333333347313
       86        86 0.011901333333333347086
       86        88 0.0029678333333333279699
       87        85 0.0029678333333333279699
       87        87 0.011841666666666673946
       87        89 0.0029530000000000007632
       88        86 0.0029678333333333279699
       88        88 0.011841666666666673946
       88        90 0.0029530000000000007632
       89        87 0.0029530000000000007632
       89        89 0.01178233333333336165
       89        91 0.0029381666666666635818
       90        88 0.0029530000000000007632
       90        90 0.01178233333333336165
       90        92 0.0029381666666666635818
       91        89 0.0029381666666666635818
       91        91 0.011723333333333304379
       91        93 0.0029234999999999938119
       92        90 0.0029381666666666635818
       92        92 0.011723333333333304379
       92        94 0.0029234999999999938119
       93        91 0.0029234999999999938119
       93        93 0.011664666666666647851
       93        95 0.0029088333333333426904
       94        92 0.0029234999999999938119
       94        94 0.011664666666666647851
       94        96 0.0029088333333333426904
       95        93 0.0029088333333333426904
       95        95 0.011606666666666695664
       95        97 0.0028944999999999847587
       96        94 0.0029088333333333426904
       96        96 0.011606666666666695664
       96        98 0.0028944999999999847587
       97        95 0.0028944999999999847587
       97        97 0.011548666666666682762
       97        99 0.0028798333333333397087
       98        96 0.0028944999999999847587
       98        98 0.011548666666666682762
       98       100 0.0028798333333333397087
       99        97 0.0028798333333333397087
       99        99 0.011490666666666664655
       99       101 0.0028654999999999947874
      100        98 0.0028798333333333397087
      100       100 0.011490666666666664655
      100       102 0.0028654999999999947874
      101        99 0.0028654999999999947874
      101       101 0.01143333333333334742
      101       103 0.0028511666666666546366
      102       100 0.0028654999999999947874
      102       102 0.01143333333333334742
      102       104 0.0028511666666666546366
      103       101 0.0028511666666666546366
      103       103 0.011375999999999981613
      103       105 0.0028368333333333452771
      104       102 0.0028511666666666546366
      104       104 0.011375999999999981613
      104       106 0.0028368333333333452771
      105       103 0.0028368333333333452771
      105       105 0.011319333333333337493
      105       107 0.0028228333333333239033
      106       104 0.0028368333333333452771
      106       106 0.011319333333333337493
      106       108 0.0028228333333333239033
      107       105 0.0028228333333333239033
      107       107 0.011262666666666660414
      107       109 0.0028085000000000024008
      108       106 0.0028228333333333239033
      108       108 0.011262666666666660414
      108       110 0.0028085000000000024008
      109       107 0.0028085000000000024008
      109       109 0.011206333333333338975
      109       111 0.0027946666666666675205
      110       108 0.0028085000000000024008
      110       110 0.011206333333333338975
      110       112 0.0027946666666666675205
      111       109 0.0027946666666666675205
      111       111 0.011150333333333335012
      111       113 0.0027805000000000017202
      112       110 0.0027946666666666675205
      112       112 0.011150333333333335012
      112       114 0.0027805000000000017202
      113       111 0.0027805000000000017202
      113       113 0.011094333333333310232
      113       115 0.002766666666666678983
      114       112 0.0027805000000000017202
      114       114 0.011094333333333310232
      114       116 0.002766666666666678983
      115       113 0.002766666666666678983
      115       115 0.011039333333333348902
      115       117 0.0027530000000000175858
      116       114 0.002766666666666678983
      116       116 0.011039333333333348902
      116       118 0.0027530000000000175858
      117       115 0.0027530000000000175858
      117       117 0.010983999999999934788
      117       119 0.0027390000000000014162
      118       116 0.0027530000000000175858
      118       118 0.010983999999999934788
      118       120 0.0027390000000000014162
      119       117 0.0027390000000000014162
      119       119 0.010928999999999994275
      119       121 0.0027255000000000325841
      120       118 0.0027390000000000014162
      120       120 0.010928999999999994275
      120       122 0.0027255000000000325841
      121       119 0.0027255000000000325841
      121       121 0.010874333333333345217
      121       123 0.0027116666666666547694
      122       120 0.0027255000000000325841
      122       122 0.010874333333333345217
      122       124 0.0027116666666666547694
      123       121 0.0027116666666666547694
      123       123 0.010819666666666661464
      123       125 0.0026981666666666603502
      124       122 0.0027116666666666547694
      124       124 0.010819666666666661464
      124       126 0.0026981666666666603502
      125       123 0.0026981666666666603502
      125       125 0.010765999999999964834
      125       127 0.0026848333333333420161
      126       124 0.0026981666666666603502
      126       126 0.010765999999999964834
      126       128 0.0026848333333333420161
      127       125 0.0026848333333333420161
      127       127 0.010712333333333386165
      127       129 0.0026713333333333129024
      128       126 0.0026848333333333420161
      128       128 0.010712333333333386165
      128       130 0.0026713333333333129024
      129       127 0.0026713333333333129024
      129       129 0.01065833333333333216
      129       131 0.0026578333333333189169
      130       128 0.0026713333333333129024
      130       130 0.01065833333333333216
      130       132 0.0026578333333333189169
      131       129 0.0026578333333333189169
      131       131 0.01060499999999995821
      131       133 0.0026446666666666857753
      132       130 0.0026578333333333189169
      132       132 0.01060499999999995821
      132       134 0.0026446666666666857753
      133       131 0.0026446666666666857753
      133       133 0.010552333333333333704
      133       135 0.0026315000000000044952
      134       132 0.0026446666666666857753
      134       134 0.010552333333333333704
      134       136 0.0026315000000000044952
      135       133 0.0026315000000000044952
      135       135 0.010499333333333346618
      135       137 0.002618166666666660574
      136       134 0.0026315000000000044952
      136       136 0.010499333333333346618
      136       138 0.002618166666666660574
      137       135 0.002618166666666660574
      137       137 0.010446666666666652723
      137       139 0.0026051666666666779305
      138       136 0.002618166666666660574
      138       138 0.010446666666666652723
      138       140 0.0026051666666666779305
      139       137 0.0026051666666666779305
      139       139 0.010394666666666671842
      139       141 0.0025921666666666696999
      140       138 0.0026051666666666779305
      140       140 0.010394666666666671842
      140       142 0.0025921666666666696999
      141       139 0.0025921666666666696999
      141       141 0.010342999999999980681
      141       143 0.0025793333333333371207
      142       140 0.0025921666666666696999
      142       142 0.010342999999999980681
      142       144 0.0025793333333333371207
      143       141 0.0025793333333333371207
      143       143 0.010291000000000013678
      143       145 0.0025661666666666432639
      144       142 0.0025793333333333371207
      144       144 0.010291000000000013678
      144       146 0.0025661666666666432639
      145       143 0.0025661666666666432639
      145       145 0.01023933333333336762
      145       147 0.0025535000000000201634
      146       144 0.0025661666666666432639
      146       146 0.01023933333333336762
      146       148 0.0025535000000000201634
      147       145 0.0025535000000000201634
      147       147 0.010188333333333252431
      147       149 0.0025406666666666858495
      148       146 0.0025535000000000201634
      148       148 0.010188333333333252431
      148       150 0.0025406666666666858495
      149       147 0.0025406666666666858495
      149       149 0.010137333333333331531
      149       151 0.0025280000000000033347
      150       148 0.0025406666666666858495
      150       150 0.010137333333333331531
      150       152 0.0025280000000000033347
      151       149 0.0025280000000000033347
      151       151 0.010086666666666709025
      151       153 0.0025153333333333433713
      152       150 0.0025280000000000033347
      152       152 0.010086666666666709025
      152       154 0.0025153333333333433713
      153       151 0.0025153333333333433713
      153       153 0.010036333333333292972
      153       155 0.0025028333333333334723
      154       152 0.0025153333333333433713
      154       154 0.010036333333333292972
      154       156 0.0025028333333333334723
      155       153 0.0025028333333333334723
      155       155 0.0099863333333333401121
      155       157 0.0024903333333333122976
      156       154 0.0025028333333333334723
      156       156 0.0099863333333333401121
      156       158 0.0024903333333333122976
      157       155 0.0024903333333333122976
      157       157 0.0099360000000000506942
      157       159 0.0024776666666666657783
      158       156 0.0024903333333333122976
      158       158 0.0099360000000000506942
      158       160 0.0024776666666666657783
      159       157 0.0024776666666666657783
      159       159 0.0098863333333333077574
      159       161 0.0024655000000000149886
      160       158 0.0024776666666666657783
      160       160 0.0098863333333333077574
      160       162 0.0024655000000000149886
      161       159 0.0024655000000000149886
      161       161 0.00983733333333330906
      161       163 0.002453166666666668598
      162       160 0.0024655000000000149886
      162       162 0.00983733333333330906
      162       164 0.002453166666666668598
      163       161 0.002453166666666668598
      163       163 0.0097880000000000275812
      163       165 0.0024408333333333087634
      164       162 0.002453166666666668598
      164       164 0.0097880000000000275812
      164       166 0.0024408333333333087634
      165       163 0.0024408333333333087634
      165       165 0.0097386666666667287551
      165       167 0.0024284999999999970673
      166       164 0.0024408333333333087634
      166       166 0.0097386666666667287551
      166       168 0.0024284999999999970673
      167       165 0.0024284999999999970673
      167       167 0.0096899999999999486544
      167       169 0.002416500000000020628
      168       166 0.0024284999999999970673
      168       168 0.0096899999999999486544
      168       170 0.002416500000000020628
      169       167 0.002416500000000020628
      169       169 0.0096419999999999665696
      169       171 0.0024044999999999995197
      170       168 0.002416500000000020628
      170       170 0.0096419999999999665696
      170       172 0.0024044999999999995197
      171       169 0.0024044999999999995197
      171       171 0.0095936666666667311937
      171       173 0.0023923333333333244438
      172       170 0.0024044999999999995197
      172       172 0.0095936666666667311937
      172       174 0.0023923333333333244438
      173       171 0.0023923333333333244438
      173       173 0.009545333333333280712
      173       175 0.0023803333333333371626
      174       172 0.0023923333333333244438
      174       174 0.009545333333333280712
      174       176 0.0023803333333333371626
      175       173 0.0023803333333333371626
      175       175 0.0094980000000000602139
      175       177 0.0023686666666666612857
      176       174 0.0023803333333333371626
      176       176 0.0094980000000000602139
      176       178 0.0023686666666666612857
      177       175 0.0023686666666666612857
      177       177 0.0094506666666666176713
      177       179 0.0023566666666666857138
      178       176 0.0023686666666666612857
      178       178 0.0094506666666666176713
      178       180 0.0023566666666666857138
      179       177 0.0023566666666666857138
      179       179 0.0094013333333332234354
      179       181 0.002343999999999991056
      180       178 0.0023566666666666857138
      180       180 0.0094013333333332234354
      180       182 0.002343999999999991056
      181       179 0.002343999999999991056
      181       181 0.0093546666666667246254
      181       183 0.0023333333333333474043
      182       180 0.002343999999999991056
      182       182 0.0093546666666667246254
      182       184 0.0023333333333333474043
      183       181 0.0023333333333333474043
      183       183 0.0093099999999998253597
      183       185 0.0023216666666666715274
      184       182 0.0023333333333333474043
      184       184 0.0093099999999998253597
      184       186 0.0023216666666666715274
      185       183 0.0023216666666666715274
      185       185 0.0092633333333334826748
      185       187 0.0023099999999999960842
      186       184 0.0023216666666666715274
      186       186 0.0092633333333334826748
      186       188 0.0023099999999999960842
      187       185 0.0023099999999999960842
      187       187 0.0092166666666664998769
      187       189 0.0022983333333333206411
      188       186 0.0023099999999999960842
      188       188 0.0092166666666664998769
      188       190 0.0022983333333333206411
      189       187 0.0022983333333333206411
      189       189 0.0091700000000001918865
      189       191 0.0022866666666666707851
      190       188 0.0022983333333333206411
      190       190 0.0091700000000001918865
      190       192 0.0022866666666666707851
      191       189 0.0022866666666666707851
      191       191 0.00912666666666668569
      191       193 0.0022766666666666859377
      192       190 0.0022866666666666707851
      192       192 0.00912666666666668569
      192       194 0.0022766666666666859377
      193       191 0.0022766666666666859377
      193       193 0.0090799999999999839173
      193       195 0.0022633333333332938779
      194       192 0.0022766666666666859377
      194       194 0.0090799999999999839173
      194       196 0.0022633333333332938779
      195       193 0.0022633333333332938779
      195       195 0.0090333333333333220433
      195       197 0.002253333333333334184
      196       194 0.0022633333333332938779
      196       196 0.0090333333333333220433
      196       198 0.002253333333333334184
      197       195 0.002253333333333334184
      197       197 0.0089900000000000118705
      197       199 0.0022416666666666591745
      198       196 0.002253333333333334184
      198       198 0.0089900000000000118705
      198       200 0.0022416666666666591745
      199       197 0.0022416666666666591745
      199       199 0.0089433333333332754034
      199       201 0.002229999999999982864
      200       198 0.0022416666666666591745
      200       200 0.0089433333333332754034
      200       202 0.002229999999999982864
      201       199 0.002229999999999982864
      201       201 0.0088966666666667366947
      201       203 0.0022183333333333815802
      202       200 0.002229999999999982864
      202       202 0.0088966666666667366947
      202       204 0.0022183333333333815802
      203       201 0.0022183333333333815802
      203       203 0.008853333333333338051
      203       205 0.0022083333333333008894
      204       202 0.0022183333333333815802
      204       204 0.008853333333333338051
      204       206 0.0022083333333333008894
      205       203 0.0022083333333333008894
      205       205 0.0088100000000001007366
      205       207 0.0021966666666666727174
      206       204 0.0022083333333333008894
      206       206 0.0088100000000001007366
      206       208 0.0021966666666666727174
      207       205 0.0021966666666666727174
      207       207 0.0087666666666666084179
      207       209 0.0021866666666667138909
      208       206 0.0021966666666666727174
      208       208 0.0087666666666666084179
      208       210 0.0021866666666667138909
      209       207 0.0021866666666667138909
      209       209 0.0087233333333332097742
      209       211 0.0021749999999999903091
      210       208 0.0021866666666667138909
      210       210 0.0087233333333332097742
      210       212 0.0021749999999999903091
      211       209 0.0021749999999999903091
      211       211 0.0086766666666668393337
      211       213 0.0021633333333332662937
      212       210 0.0021749999999999903091
      212       212 0.0086766666666668393337
      212       214 0.0021633333333332662937
      213       211 0.0021633333333332662937
      213       213 0.008633333333333347015
      213       215 0.0021533333333334033106
      214       212 0.0021633333333332662937
      214       214 0.008633333333333347015
      214       216 0.0021533333333334033106
      215       213 0.0021533333333334033106
      215       215 0.0085933333333331821113
      215       217 0.0021433333333333221861
      216       214 0.0021533333333334033106
      216       216 0.0085933333333331821113
      216       218 0.0021433333333333221861
      217       215 0.0021433333333333221861
      217       217 0.0085500000000000783706
      217       219 0.0021316666666666246252
      218       216 0.0021433333333333221861
      218       218 0.0085500000000000783706
      218       220 0.0021316666666666246252
      219       217 0.0021316666666666246252
      219       219 0.0085066666666666814617
      219       221 0.0021216666666666397778
      220       218 0.0021316666666666246252
      220       220 0.0085066666666666814617
      220       222 0.0021216666666666397778
      221       219 0.0021216666666666397778
      221       221 0.0084633333333333851667
      221       223 0.0021100000000000376267
      222       220 0.0021216666666666397778
      222       222 0.0084633333333333851667
      222       224 0.0021100000000000376267
      223       221 0.0021100000000000376267
      223       223 0.0084200000000000004008
      223       225 0.0021000000000000042071
      224       222 0.0021100000000000376267
      224       224 0.0084200000000000004008
      224       226 0.0021000000000000042071
      225       223 0.0021000000000000042071
      225       225 0.0083799999999999048861
      225       227 0.0020899999999999976756
      226       224 0.0021000000000000042071
      226       226 0.0083799999999999048861
      226       228 0.0020899999999999976756
      227       225 0.0020899999999999976756
      227       227 0.0083366666666667300217
      227       229 0.0020783333333333217988
      228       226 0.0020899999999999976756
      228       228 0.0083366666666667300217
      228       230 0.0020783333333333217988
      229       227 0.0020783333333333217988
      229       229 0.0082933333333333088266
      229       231 0.0020683333333333152673
      230       228 0.0020783333333333217988
      230       230 0.0082933333333333088266
      230       232 0.0020683333333333152673
      231       229 0.0020683333333333152673
      231       231 0.0082533333333333867843
      231       233 0.0020583333333333560071
      232       230 0.0020683333333333152673
      232       232 0.0082533333333333867843
      232       234 0.0020583333333333560071
      233       231 0.0020583333333333560071
      233       233 0.0082133333333332218806
      233       235 0.0020483333333333702923
      234       232 0.0020583333333333560071
      234       234 0.0082133333333332218806
      234       236 0.0020483333333333702923
      235       233 0.0020483333333333702923
      235       235 0.008173333333333251266
      235       237 0.0020383333333333156223
      236       234 0.0020483333333333702923
      236       236 0.008173333333333251266
      236       238 0.0020383333333333156223
      237       235 0.0020383333333333156223
      237       237 0.0081333333333333153459
      237       239 0.0020283333333333563621
      238       236 0.0020383333333333156223
      238       238 0.0081333333333333153459
      238       240 0.0020283333333333563621
      239       237 0.0020283333333333563621
      239       239 0.0080900000000001161954
      239       241 0.0020166666666666327803
      240       238 0.0020283333333333563621
      240       240 0.0080900000000001161954
      240       242 0.0020166666666666327803
      241       239 0.0020166666666666327803
      241       241 0.0080499999999999842515
      241       243 0.0020083333333333424318
      242       240 0.0020166666666666327803
      242       242 0.0080499999999999842515
      242       244 0.0020083333333333424318
      243       241 0.0020083333333333424318
      243       243 0.0080100000000000136369
      243       245 0.001996666666666688239
      244       242 0.0020083333333333424318
      244       244 0.0080100000000000136369
