# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
9797 9797 0  66589
        1         1 6.9141466566666656799e-005
        1       179 1.0927758970000002366e-005
        1       328 2.3642974313333332809e-005
        1       692 1.2715215343333335525e-005
        1      1863 2.1855517939999997957e-005
        2         2 7.271637931333333328e-005
        2        31 1.0927758970000002366e-005
        2       496 2.3642974313333332809e-005
        2       664 1.2715215343333335525e-005
        2      5364 2.5430430686666667661e-005
        3         3 5.9063221333333754647e-005
        3       178 5.2034483333333361699e-006
        3       327 5.6583333333333949195e-006
        3       506 1.3011495666666753008e-005
        3       874 1.3466380666666815993e-005
        3      4804 1.0406896666666670646e-005
        3      5714 1.1316666666666788145e-005
        4         4 5.2955752666667134615e-005
        4       326 5.2034483333333361699e-006
        4       327 5.6583333333333974606e-006
        4       338 1.3011495666666753008e-005
        4       796 1.3466380666666815993e-005
        4      5383 1.5616094666666833677e-005
        5         5 0.00048872519704166658694
        5       337 9.5648228958333266327e-005
        5       348 7.495689386250001425e-005
        5       720 8.7217612462500015849e-005
        5      1254 6.6526277366666736668e-005
        5      5084 0.00010287942729166659676
        5      7673 6.1496757100000051951e-005
        6         6 0.00026454149000000159314
        6       347 5.2638322916666977652e-005
        6       495 3.5692068750000006299e-005
        6       830 5.3557822500000591866e-005
        6      1290 3.661156833333360696e-005
        6      3324 4.2101354166666638402e-005
        6      8265 4.3940353333333846502e-005
        7         7 0.00048432184090833321419
        7       505 9.5648228958333266327e-005
        7       516 7.495689386250001425e-005
        7       758 8.7217612462500015849e-005
        7      1554 6.6526277366666736668e-005
        7      3343 8.8417030624999935892e-005
        7      8786 7.1555797633333407832e-005
        8         8 0.00027095785750000183321
        8       515 5.2638322916666984428e-005
        8       663 3.5692068750000006299e-005
        8       909 5.3557822500000585089e-005
        8      1590 3.661156833333360696e-005
        8      5757 6.3175291666667303348e-005
        8      9378 2.9282783333333364031e-005
        9         9 5.8183176866666672805e-005
        9       691 2.9091588433333339791e-005
        9       786 2.9091588433333339791e-005
       10        10 0.00011636635373333333206
       10       719 2.9091588433333339791e-005
       10       748 2.9091588433333339791e-005
       10      4823 5.8183176866666666029e-005
       11        11 0.0005628115130833334992
       11       747 0.00019954824337500002467
       11       757 0.00011769073020833327264
       11      1258 8.1857513166666752034e-005
       11      7561 0.00016371502633333344986
       12        12 0.0006344779471666665404
       12       785 0.00019954824337500002467
       12       795 0.00011769073020833327264
       12      1558 8.1857513166666752034e-005
       12      5103 0.00023538146041666649106
       13        13 0.00036575117599999977308
       13       829 5.108894933333336236e-005
       13       864 7.0111435333333299276e-005
       13       908 5.0808333333333319237e-005
       13       953 6.9830819333333290035e-005
       13      5747 4.2933333333333351437e-005
       13      6097 8.0978305333333252375e-005
       14        14 0.0014293632149999992587
       14       863 0.00020318844000000006473
       14       873 0.00028363752083333300001
       14      1023 0.00027772767749999980593
       14      1442 0.00019727859666666673513
       14      5704 0.00023967533333333316961
       14      8401 0.00022785564666666661884
       15        15 0.00035976743599999981603
       15       907 5.1088949333333355583e-005
       15       908 5.0808333333333305685e-005
       15       943 7.0111435333333299276e-005
       15      1103 6.9830819333333276483e-005
       15      6078 5.9244565333333346177e-005
       15      6788 5.8683333333333266709e-005
       16        16 0.0014561334899999989895
