# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
492 492 0  5856
        1         1 1.0000000000000000199e+030
        1         2 -6250000.9796320963651
        1         3 -31250000.069150827825
        1         4 -37500000.749132588506
        1         9 -69791667.116475611925
        1        10 6250001.7287646885961
        1        11 -6249999.8059903383255
        1        12 37499999.999999992549
        2         1 -6250000.9796320963651
        2         2 1.0000000000000000199e+030
        2         3 -0.74913259189707237518
        2         4 -62499997.441424131393
        2         9 -31249998.271235298365
        2        10 -27083331.985543251038
        2        11 37499999.999999992549
        2        12 -12500002.308858163655
        3         1 -31250000.069150827825
        3         2 -0.74913259189707237518
        3         3 1.0000000000000000199e+030
        3         4 1.4982651770114898682
        3         5 -31249996.473314192146
        3         6 -0.74913259189707237518
        3        11 -180000009.95770150423
        3        12 0
        4         1 -37500000.749132581055
        4         2 -62499997.441424131393
        4         3 1.4982651770114898682
        4         4 1.0000000000000000199e+030
        4         5 37499999.250867404044
        4         6 -62499995.643505826592
        4        11 0
        4        12 -90000004.978850722313
        5         3 -31249996.473314192146
        5         4 37499999.250867411494
        5         5 1.0000000000000000199e+030
        5         6 -31249997.488484963775
        5         7 -37499993.891688004136
        5         8 -1.9016442873512333644
        5        11 -6250004.885689496994
        5        12 -37500000.316940687597
        5        13 -144791671.78333857656
        5        14 31250000.456202540547
        6         3 -0.74913259189707237518
        6         4 -62499995.643505826592
        6         5 -31249997.488484963775
        6         6 1.0000000000000000199e+030
        6         7 37499998.098355703056
        6         8 -74999993.488308951259
        6        11 -37500000.316940687597
        6        12 -12500001.369568254799
        6        13 31250000.456202540547
        6        14 -64583336.738045029342
        7         5 -37499993.891688004136
        7         6 37499998.098355703056
        7         7 1.0000000000000000199e+030
        7         8 4.2066676860658098747
        7        13 -6.1083123240838297363
        7        14 -37499999.999999992549
        7        15 -74999993.891688004136
        7        16 -2.3050233987145767323
        8         5 -1.9016442873512333644
        8         6 -74999993.488308951259
        8         7 4.2066676860658098747
        8         8 1.0000000000000000199e+030
        8        13 -37500000
        8        14 -6.511691435447172438
        8        15 37499997.694976598024
        8        16 -37499993.488308936357
        9         1 -69791667.116475611925
        9         2 -31249998.271235298365
        9         9 211458333.18127280474
        9        10 18749995.966215260327
        9        11 -56249994.842513725162
        9        12 -37499999.999999992549
        9        17 -66666667.563065640628
