# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
14296 2392 0  5814
      702      2277 0
      702      2278 -0.19879833698374443918
      702      2279 0
      702      2280 183.37742840933000821
      702      2285 0
      702      2286 0.3153665386366134582
      702      2291 0
      702      2292 -183.26732541498904538
      702      2295 0
      702      2296 -0.2266711959938704779
      703      2271 0
      703      2272 182.75667223314670196
      703      2277 0
      703      2278 -0.36595720795607283859
      703      2279 0
      703      2280 0.63590627955896206203
      703      2285 0
      703      2286 -183.0266213047496251
      704      2331 0
      704      2332 189.03327903694290058
      704      2335 0
      704      2336 -1.9653203151352329758
      704      2339 0
      704      2340 2.939897431099130376
      704      2345 0
      704      2346 -190.00785615290678265
      705      2285 0
      705      2286 183.65735436930398805
      705      2291 0
      705      2292 0.67524808123894952683
      705      2295 0
      705      2296 -0.5203980924369748795
      705      2299 0
      705      2300 -183.81220435810595859
      706      2335 0
      706      2336 -1.206008689805735612
      706      2339 0
      706      2340 191.08819990324579408
      706      2345 0
      706      2346 0.61777794471375102603
      706      2351 0
      706      2352 -188.93350002456983816
      706      2353 0
      706      2354 -1.5664691335840059683
      707      2197 0
      707      2198 180.49201328938656275
      707      2201 0
      707      2202 -0.064155757186737577547
      707      2205 0
      707      2206 0.17191214303526061724
      707      2211 0
      707      2212 -0.071682100960122646649
      707      2213 0
      707      2214 -180.52808757427496289
      708      2205 0
      708      2206 180.68929188397922303
      708      2211 0
      708      2212 -0.075966788199637605428
      708      2213 0
      708      2214 0.17886424901631137185
      708      2215 0
      708      2216 -0.080251475439152564206
      708      2221 0
      708      2222 -180.71193786935674552
      709      2291 0
      709      2292 184.08547736659059524
      709      2295 0
      709      2296 -0.28178077800379469631
      709      2299 0
      709      2300 0.38427204483354471254
      709      2305 0
      709      2306 -0.30891220318365908426
      709      2307 0
      709      2308 -183.87905643023671587
      710      2359 0
      710      2360 203.69065159774459062
      710      2369 0
      710      2370 13.561194198647793741
      710      2371 0
      710      2372 -13.137117799180590083
      710      2379 0
      710      2380 -204.11472799721184401
      711      2213 0
      711      2214 180.79218934479592917
      711      2215 0
      711      2216 -0.080251475439152578084
      711      2221 0
