# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2392 2392 0  28616
        1         1 112499999.99996912479
        1         2 -37499999.999999992549
        1         7 -37500000.000030830503
        1         8 0
        1        11 -74999999.999938309193
        1        12 37499999.999999992549
        2         1 -37499999.999999992549
        2         2 112500000.0000308156
        2         7 37499999.999999992549
        2         8 -75000000.000061675906
        2        11 0
        2        12 -37499999.999969154596
        3         3 249999967.90257531404
        3         4 41666652.260274752975
        3         5 -37499999.999999597669
        3         6 -37499999.999999992549
        3         7 8.8167084162123501301
        3         8 12500011.12173775956
        3         9 -187499947.44548913836
        3        10 -49999994.75607611239
        3        13 -25000029.273794930428
        3        14 33333331.374063588679
        4         3 41666652.260274752975
        4         4 224999982.48183465004
        4         5 0
        4         6 -74999999.99999922514
        4         7 -24999988.878262229264
        4         8 -37499997.320410043001
        4         9 -49999994.756076104939
        4        10 -112499965.8568585515
        4        13 33333331.374063581228
        4        14 -19.304566828534007072
        5         3 -37499999.999999597669
        5         4 0
        5         5 112500000.00000038743
        5         6 37499999.999999992549
        5        13 -75000000.00000077486
        5        14 -37499999.999999992549
        6         3 -37500000
        6         4 -74999999.99999922514
        6         5 37500000
        6         6 112499999.99999959767
        6        13 0
        6        14 -37500000.00000038743
        7         1 -37500000.000030830503
        7         2 37499999.999999992549
        7         3 8.8167084152810275555
        7         4 -24999988.878262229264
        7         7 190625010.63555911183
        7         8 -21875011.593574129045
        7         9 -75000063.575438350439
        7        10 37500004.883770354092
        7        11 -12499999.92794031091
        7        12 -37499998.372076235712
        7        19 -65624955.948858000338
        7        20 9374993.9601422566921
        8         1 0
        8         2 -75000000.000061675906
        8         3 12500011.121737757698
        8         4 -37499997.320410043001
        8         7 -21875011.593574129045
        8         8 221875032.82142430544
        8         9 37500004.883770354092
        8        10 -93750065.044900998473
        8        11 -37499998.372076243162
        8        12 -25000014.507182411849
        8        19 9374993.96014226228
        8        20 9375044.0511308386922
        9         3 -187499947.44548913836
        9         4 -49999994.756076104939
        9         7 -75000063.575438350439
        9         8 37500004.883770354092
        9         9 464062470.70332819223
        9        10 31107930.226448737085
        9        13 15.841794001869857311
        9        14 5681823.7805475248024
        9        17 -121874965.82148510218
        9        18 17897732.602259211242
        9        19 -79687509.702709615231
        9        20 -42187496.736949726939
       10         3 -49999994.756076104939
       10         4 -112499965.8568585515
       10         7 37500004.883770346642
       10         8 -93750065.044901013374
       10         9 31107930.226448722184
       10        10 428267076.44114077091
       10        13 5681823.7805475257337
       10        14 -68181806.157598376274
       10        17 17897732.602259207517
       10        18 -36647706.945780903101
       10        19 -42187496.736949726939
       10        20 -117187532.43600189686
       11         1 -74999999.999938309193
       11         2 0
       11         7 -12499999.92794031091
       11         8 -37499998.372076243162
       11        11 216666660.35984933376
       11        12 -24999998.444140654057
       11        15 -66666649.507060281932
       11        16 24999991.932448785752
       11        19 -62500010.924910411239
       11        20 37500004.883768111467
       12         1 37499999.999999992549
       12         2 -37499999.999969154596
       12         7 -37499998.372076235712
       12         8 -25000014.507182411849
       12        11 -24999998.444140650332
       12        12 208333340.25486060977
       12        15 -12500008.067551206797
       12        16 -20833318.549192514271
       12        19 37500004.883768104017
       12        20 -125000007.19851648808
       13         3 -25000029.273794930428
       13         4 33333331.374063592404
       13         5 -75000000.00000077486
       13         6 0
       13         9 15.841794005129486322
       13        10 5681823.7805475257337
       13        13 216666682.60160464048
       13        14 14393923.059232339263
       13        17 -49999981.629669062793
       13        18 -40909089.738958902657
