# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2392 14296 0  3636
        1      8989 0
        1      9246 -0.055555555555555552472
        1      9247 -0.11111111111111111882
        2      8989 0.055555555555602723072
        2      9246 0
        2      9247 0.11111111111120411388
        3      8712 -0.055555555555555552472
        3      8987 -0.22222222222222223764
        3      9246 -0.055555555555555552472
        4      8712 0
        4      8987 0
        4      9246 0
        5      8414 0
        5      8712 -0.11111111111111116045
        5      8987 -0.05555555555555555941
        6      8414 -0.055555555555554428371
        6      8712 -0.11111111111110806571
        6      8987 0
        7      8987 -0.055555555555555552472
        7      9246 -0.22222222222222220989
        7      9247 -0.055555555555555538594
        8      8987 0
        8      9246 0
        8      9247 0
       11      8715 0
       11      8989 0
       11      9247 0
       12      8715 0.055555555555552041391
       12      8989 0.22222222222231149957
       12      9247 0.055555555555599628326
       13      8108 0
       13      8414 0
       13      8712 0
       14      8108 -0.055555555555557606384
       14      8414 -0.22222222222222653976
       14      8712 -0.055555555555556905556
       15      8419 0
       15      8715 0
       15      8989 0
       16      8419 0.055555555555556905556
       16      8715 0.22222222222222343113
       16      8989 0.055555555555554511638
       21      7773 0
       21      8108 0
       21      8414 0
       22      7773 -0.05555555555555725944
       22      8108 -0.22222222222222620669
       22      8414 -0.055555555555554518576
       25      8116 0
       25      8419 0
       25      8715 0
       26      8116 0.05555555555555443531
       26      8419 0.22222222222221613142
       26      8715 0.05555555555555443531
       29      7426 0
       29      7773 0
       29      8108 0
       30      7426 -0.05555555555555725944
       30      7773 -0.22222222222222098864
       30      8108 -0.055555555555551694447
       31      7784 0
       31      8116 0
       31      8419 0
       32      7784 0.055555555555554511638
       32      8116 0.22222222222222345889
       32      8419 0.055555555555556898617
       37      7046 0
       37      7426 0
       37      7773 0
       38      7046 -0.05555555555555443531
       38      7426 -0.22222222222222134946
       38      7773 -0.055555555555557252501
       39      6645 0
       39      7046 0
       39      7426 0
       40      6645 -0.05555555555555725944
       40      7046 -0.22222222222222381971
       40      7426 -0.055555555555556898617
       43      7439 0
       43      7784 0
       43      8116 0
       44      7439 0.055555555555554428371
       44      7784 0.22222222222221849064
       44      8116 0.055555555555552055269
       47      6207 0
       47      6645 0
       47      7046 0
       48      6207 -0.055555555555554511638
       48      6645 -0.22222222222222617893
       48      7046 -0.055555555555557252501
       53      7067 0
       53      7439 0
       53      7784 0
       54      7067 0.055555555555556905556
       54      7439 0.22222222222222107191
       54      7784 0.055555555555556905556
       57      6158 0
       57      6207 0
       57      6645 0
       58      6158 -0.055555555555557245562
       58      6207 -0.22222222222222370869
       58      6645 -0.055555555555552041391
       61      7060 0
       61      7067 0
       61      7439 0
       62      7060 0.05555555555555443531
       62      7067 0.22222222222221613142
       62      7439 0.055555555555554428371
       63      6667 0
       63      7060 0
       63      7067 0
       64      6667 0.055555555555557245562
       64      7060 0.22222222222222379195
       64      7067 0.055555555555556905556
       67      5695 0
       67      6158 0
       67      6207 0
       68      5695 -0.055555555555554442249
       68      6158 -0.22222222222222132171
       68      6207 -0.05555555555555725944
       71      6640 0
       71      6667 0
       71      7060 0
       72      6640 0.05555555555555443531
       72      6667 0.22222222222221577059
       72      7060 0.055555555555551708324
       75      5203 0
       75      5695 0
       75      6158 0
       76      5203 -0.05555555555555725944
       76      5695 -0.22222222222222381971
       76      6158 -0.055555555555556912495
       79      6201 0
       79      6640 0
       79      6667 0
       80      6201 0.055555555555556905556
       80      6640 0.22222222222222107191
       80      6667 0.055555555555556898617
       83      5163 0
       83      5203 0
       83      5695 0
       84      5163 -0.055555555555554511638
       84      5203 -0.22222222222222617893
       84      5695 -0.055555555555557252501
       85      6201 0
       85      6204 0
       85      6640 0
       86      6201 0.22222222222221851839
       86      6204 0.05555555555555204833
       86      6640 0.055555555555554428371
       91      5163 0
       91      5168 0
       91      5203 0
       92      5163 -0.22222222222222370869
       92      5168 -0.05555555555555725944
       92      5203 -0.055555555555552041391
       93      6201 0
       93      6204 0
