1i-,,1i+,,1r,,2i,,2r,
X,Y,X,Y,X,Y,X,Y,X,Y
-0.003994839,-0.033783784,0.079028223,0.023322328,0.013681438,2.77027027,0.071967303,-0.020850929,-0.034327329,18.20945946
0.078934485,0.068111435,0.446239814,0.346283784,0.774963322,2.77027027,0.267750597,0.083787623,0.075313861,18.2043407
0.230958231,0.202702703,0.642506634,0.577960773,2.274265109,2.635135135,0.456529215,0.117379453,0.264129974,18.22001689
0.473759567,0.439189189,0.832930462,0.736908784,2.627507822,2.601351351,0.647128489,0.101351351,0.452978895,18.22001689
0.724479876,0.641891892,1.023323602,0.910519895,3.067152175,2.533783784,0.834240515,0.110949017,0.641827815,18.22001689
0.959432945,0.878378378,1.242263928,1.115803303,3.381365669,2.398648649,1.431884468,0.135135135,0.830683767,18.21665771
1.242263928,1.115803303,1.432653386,1.291173986,3.711134287,2.331081081,2.514874587,0.168918919,1.019680325,18.14611486
1.432653386,1.291173986,1.623046526,1.464785098,3.970268503,2.263513514,3.244763403,0.168918919,1.208529245,18.14611486
1.623046526,1.464785098,1.84197826,1.674174174,4.198009651,2.195945946,3.723649091,0.101351351,1.3974555,18.10916385
1.84197826,1.674174174,2.032365263,1.850717905,4.410054266,2.128378378,4.233732603,0.009885596,1.586381755,18.07221284
2.043042148,1.876121727,2.222717894,2.043684309,4.55146448,2.060810811,4.422644797,-0.020347052,1.775315039,18.03190264
2.228084784,2.083484154,2.443383622,2.336007883,4.685097131,1.959459459,4.611507778,-0.027065418,1.964241294,17.99495163
2.494652926,2.331081081,2.820515288,2.606534091,4.857829707,1.925675676,4.800448094,-0.070734797,2.153230822,17.92776797
2.786207241,2.593097359,3.193047589,3.023912584,4.991462358,1.824324324,4.989374348,-0.107685811,2.342150046,17.89417614
3.238753469,3.040540541,3.400965714,3.254856419,5.101479504,1.756756757,5.178258421,-0.124481726,2.531111452,17.84042921
3.541798993,3.410871809,3.591269245,3.471283784,5.187881145,1.722972973,5.367184675,-0.16143274,2.720093949,17.77660473
3.760644801,3.661317568,3.781593644,3.67774024,5.290120729,1.621621622,5.556081637,-0.184387157,2.909069416,17.71613943
3.950992523,3.856630068,4.00046523,3.915868994,5.565375709,1.351351351,5.744937119,-0.187522395,3.098037853,17.65903332
4.141264139,4.088307057,4.190715978,4.157516892,5.825075566,1.013513514,5.933999294,-0.289417614,3.28702035,17.59520885
4.360066983,4.359281156,4.381015826,4.375703829,6.037897937,0.574324324,6.134198292,-0.439189189,3.476030969,17.51794764
4.550317731,4.600929054,4.5997843,4.663100601,6.148480724,0.236486486,6.354232584,-0.574324324,3.664999405,17.46084152
4.745463825,4.873310811,4.790074329,4.88597973,6.2118325,-0.033783784,6.685901954,-0.671188767,3.853988933,17.39365786
4.959377461,5.110618431,4.980317711,5.131146772,7.21648136,-0.067567568,6.898331212,-0.772804054,4.0429644,17.33319257
5.149598749,5.366342905,5.199043222,5.439071884,9.641525109,-0.033783784,7.083281225,-0.846706081,4.231953928,17.26600891
5.339824946,5.619721284,5.389278012,5.688344595,14.06009934,-0.033783784,7.269525657,-0.920608108,4.420964546,17.1887477
5.558576235,5.915329392,5.579525078,5.931752065,14.1841868,0.675675676,7.478746487,-1.019144144,4.609961104,17.11820485
5.748780337,6.179265203,5.798207626,6.260205518,14.27673979,1.452702703,7.66967237,-1.100084459,4.798964692,17.04430283
5.938989349,6.440854917,5.988437506,6.511824324,14.6188818,2.972972973,7.860551608,-1.158736862,4.987975311,16.96704162
6.158144492,6.543496622,6.177993477,7.08544482,14.78263483,3.47972973,8.080153568,-1.269589902,5.176964839,16.89985795
6.349563838,6.226773649,6.395258241,8.091333521,14.93846888,4.02027027,8.271041398,-1.332347973,5.365933275,16.84275184
6.540482356,6.149352477,6.570526503,8.655862894,,,8.461975874,-1.417393956,5.554943894,16.76549063
6.759843722,6.153458146,6.753425024,9.220392267,,,8.681509092,-1.495401652,5.743792815,16.76549063
6.950479911,6.2109375,6.943089018,9.742398649,,,8.872410425,-1.564611486,5.932789373,16.69494779
7.141064544,6.293050863,7.132781244,10.25091498,,,9.063322806,-1.639100038,6.121835143,16.60089066
7.362119518,6.399387669,7.350862308,10.8667652,,,9.282804469,-1.692473724,6.310754367,16.56729883
7.604044283,6.559919294,7.54059136,11.35768581,,,9.473691072,-1.75464527,6.499701713,16.52027027
7.823087721,6.715934685,7.734827402,11.85982369,,,9.664566627,-1.811538101,6.688606876,16.49339681
8.01353119,6.865498311,7.952277981,12.43513044,,,9.884031104,-1.85670045,6.877554222,16.44636824
8.203947653,7.027965465,8.140164527,12.89496528,,,10.07490543,-1.913006757,7.066403143,16.44636824
8.422956721,7.200403529,8.317652911,13.31015097,,,10.26572452,-1.942919482,7.255252064,16.44636824
8.591313436,7.356418919,8.546338359,13.8721143,,,10.485189,-1.988081832,7.444100985,16.44636824
8.803730725,7.553490991,8.785488562,14.44690785,,,10.67597617,-2.002744932,7.632949905,16.44636824
9.018073993,7.790593328,8.975330546,14.88386824,,,10.86677071,-2.020927177,7.821798826,16.44636824
9.212910752,8.005701014,9.15895668,15.32860008,,,11.08617504,-2.03734985,8.010647747,16.44636824
9.403204463,8.226820571,9.385380117,15.83205764,,,11.27689225,-2.018581081,8.199363092,16.51019272
9.618269512,8.460843656,9.573374224,16.24049831,,,11.46760209,-1.996293168,8.388190921,16.52027027
9.810443783,8.694866742,9.762926514,16.72473255,,,11.68692049,-1.971659159,8.576906266,16.58409475
10.0025665,8.953523836,9.949115624,17.17531096,,,11.8711369,-1.92290435,8.765642701,16.63784168
10.22128342,9.265554617,10.1374443,17.42389051,,,12.06816709,-1.844383446,8.954379137,16.69158861
10.40293708,9.513434333,10.32371759,17.83424831,,,12.28731364,-1.737636074,9.143080421,16.76213145
10.59978811,9.791490709,10.51985598,18.24773015,,,12.47780743,-1.612119932,9.331732492,16.85618857
10.78164026,10.05846178,10.7015438,18.59322213,,,12.66822513,-1.450239302,9.598182879,16.92567568
10.96867076,10.35766235,10.89820149,18.96365604,,,12.88704516,-1.187476539,9.935092712,17.19594595
11.19866229,10.75129329,11.07019274,19.27106794,,,13.07716579,-0.883657095,10.29547664,17.5
11.41930117,11.14759291,11.28107318,19.68163476,,,13.25024931,-0.382003097,10.51480388,17.7027027
11.60913996,11.49493243,11.46934639,19.95671453,,,13.45292968,0.040406173,10.68711223,17.87162162
11.79915748,11.84801989,11.65943007,20.27818834,,,13.67348382,0.945945946,10.88289467,18.07432432
12.01758225,12.29964339,11.87996261,20.63414977,,,13.84203915,1.879457583,11.02840598,18.27376382
