1i-,,1i+,,1r,,2i,,2r,
X,Y,X,Y,X,Y,X,Y,X,Y
-0.006083947,0.0001,0.002456979,0.0001,0.090268779,2.975618176,0.071772,0.03899331,0.069392309,19.63262996
0.873631356,0.0001,1.138423439,0.0001,0.275199781,2.967038721,0.267510635,0.03000531,0.254356808,19.48677923
1.078636962,0.0001,1.364529032,0.0001,0.460141251,2.915561991,0.469258939,-0.001452692,0.439285717,19.48677923
1.291398055,0.0001,1.545255011,0.0001,0.645093189,2.821187987,0.670999566,-0.001452692,0.624225093,19.44388195
1.478008135,0.0001,1.746995638,0.0001,1.56094218,2.760081071,0.872740194,-0.001452692,0.809166563,19.39240522
1.679750682,0.0001,1.961968503,0.0001,2.381343711,2.528863838,1.07448274,-0.009317192,0.994098612,19.37953604
1.881500905,0.0001,3.820378947,0.0001,2.748667609,2.297646605,1.276231044,-0.040775194,1.179044269,19.3109004
3.683855766,0.0001,3.903326346,0.1666,3.122865724,2.027893166,1.47797359,-0.048639694,1.363982599,19.27229286
3.820378947,0.0001,4.027808382,0.455,3.426958514,1.671232877,1.679714218,-0.048639694,1.54893035,19.19507776
3.956959002,-1.198820396,4.09885276,0.9,3.610431987,1.353509569,1.881454845,-0.048639694,1.733877054,19.12215239
4.010542908,-2.031202435,4.18170266,1.431506849,3.734642422,0.808219178,2.06998791,-0.055380694,1.918826899,19.03635784
4.058203741,-2.896879756,4.270491883,2.164003044,3.785969873,0.47260274,2.2849361,-0.048639694,2.103776743,18.95056329
4.11774322,-3.829147641,4.365252929,2.730022831,3.828779798,0.04109589,2.483072571,-0.041898694,2.288730775,18.84760984
4.23661093,-4.828006088,4.477799444,3.3293379,4.999994165,0.092921313,2.688417354,-0.048639694,2.47368376,18.7489461
4.349506817,-5.660388128,4.625933148,3.928652968,6.176829844,0.03000531,2.890159901,-0.056504195,2.658643026,18.62454401
4.539205291,-6.190814484,4.785953623,4.428082192,6.438344192,0.03524831,3.091902447,-0.064368695,2.843602291,18.50014191
4.729820629,-6.528988,4.92227368,4.827625571,6.613933838,0.032865128,3.293641156,-0.056504195,3.028565744,18.3585809
4.926030278,-6.827839015,5.076411706,5.127283105,6.782049327,0.039835935,3.495383702,-0.064368695,3.213529197,18.2170199
5.119441811,-7.142419029,5.272043745,5.526826484,7.009940078,0.04573431,3.69712241,-0.056504195,3.398498931,18.04972052
5.312855264,-7.464863545,5.438113811,5.775584581,7.185532283,0.032865128,3.898861118,-0.048639694,3.583465525,17.89529034
5.506267438,-7.78206506,5.645817499,5.944109589,7.370468519,0.002837036,4.100601746,-0.048639694,3.768439446,17.71083205
5.699672574,-8.070430073,5.847523582,6.085670596,7.555386959,0.04573431,4.302342373,-0.048639694,3.953413367,17.52637377
5.907494701,-8.387257088,6.049235422,6.203638101,7.740315867,0.04573431,4.504083,-0.048639694,4.138393569,17.31617713
6.086491803,-8.683861102,6.250954939,6.290147605,7.891631208,0.005288308,4.705819789,-0.032910693,4.323372724,17.11027021
6.28830152,-8.966983116,6.452678294,6.360928109,8.093368874,0.017422109,4.907556578,-0.017181693,4.508355019,16.89149411
6.481707022,-9.256846129,6.654417002,6.368792609,8.332933278,0.028039184,5.10928761,0.022140809,4.693346736,16.63411046
6.675109234,-9.533227142,6.856169144,6.321605607,8.513654939,0.04573431,5.324231688,0.04573431,4.878334266,16.39388572
6.876922789,-9.832078157,7.057940478,6.195773601,8.698583847,0.04573431,5.51275735,0.069327811,5.063329123,16.12363289
7.061920787,-10.11520017,7.265741768,5.96433259,8.849889318,0.04573431,5.714484543,0.124379314,5.248329214,15.83193142
7.263722827,-10.36686418,7.441138004,5.660987576,9.068379902,0.298828231,5.916217494,0.155837315,5.433329305,15.54022995
7.471532342,-10.63201019,7.625188858,4.885023539,9.253180053,0.826464711,6.117944687,0.210888818,5.618338818,15.20992094
7.644512099,-10.87468621,7.823457459,3.803535579,9.437980205,1.35410119,6.319660366,0.313127323,5.803351471,14.86674274
7.852317228,-11.12185622,7.977806346,2.814038441,9.622804432,1.783073938,6.521387559,0.368178826,5.988368311,14.50640563
8.054115429,-11.35779123,8.076147993,1.694133588,9.807641222,2.160569956,6.723103237,0.47041733,6.173394572,14.10746097
8.261911785,-11.56900924,8.160479107,0.577374535,9.992486385,2.503748154,6.924813158,0.596249336,6.358425021,13.69135741
8.449282944,-11.73528725,8.244805614,-0.520509716,10.18996612,2.741291813,7.122904667,0.787244345,6.543463844,13.24093602
8.642646499,-11.85325475,8.329139031,-1.64670617,10.36224162,2.924141446,7.30928959,0.971779229,6.728514182,12.74332764
8.844408237,-11.93976426,8.413479356,-2.801214824,10.54712656,3.10431,7.51905588,1.29956037,6.913569754,12.22427061
9.046156541,-11.97122226,8.514625478,-3.931455878,10.73202301,3.237291552,7.702046177,1.862433896,7.098646262,11.61941904
9.247866462,-11.84539025,8.632546033,-4.908900924,10.90851424,3.367699267,7.888936932,2.434576298,7.283738473,10.95022155
9.476894466,-11.715626,8.767325098,-6.078089979,11.10181384,3.51183411,8.058960633,3.233478461,7.468836964,10.2552857
