1i-,,1i+,,1r,,2i,,2r,
X,Y,X,Y,X,Y,X,Y,X,Y
0.108583973,-0.004343948,0.08926923,-0.040941289,0.019083969,16.48010178,0.009541985,0.000203562,0.028625954,53.2
0.349140318,0.045953133,0.32806969,0.046177886,0.349140318,16.45891556,0.349140318,0.045953133,0.32806969,53.20361981
0.580917235,0.027421196,0.559846606,0.027645949,0.580917235,16.3681152,0.580917235,0.027421196,0.559846606,53.20114753
0.812694151,0.049038384,0.791623522,0.049263137,0.812694151,16.27731484,0.812694151,0.049038384,0.791623522,53.19867524
1.044471067,0.030506447,1.023400438,0.022701375,1.044471067,16.27484255,1.044471067,0.030506447,1.023400438,53.19620295
1.276247983,0.036063985,1.255177354,0.044318563,1.276247983,16.20010184,1.276247983,0.036063985,1.255177354,53.14555171
1.508024899,0.041621523,1.486954271,0.041846276,1.508024899,16.09324183,1.508024899,0.041621523,1.486954271,53.01460223
1.739801816,0.023089585,1.718731187,0.023314339,1.739801816,15.99441164,1.739801816,0.023089585,1.718731187,53.01212994
1.971578732,0.028647123,1.950508103,0.028871877,1.971578732,15.86346215,1.971578732,0.028647123,1.950508103,53.00965765
2.203355648,0.026174836,2.182285019,0.018369765,2.203355648,15.74054249,2.203355648,0.026174836,2.182285019,52.87067834
2.435132564,0.023702549,2.414061936,0.031957128,2.435132564,15.5774737,2.435132564,0.023702549,2.414061936,52.82805693
2.666909481,0.005170612,2.645838852,0.005395365,2.666909481,15.39031544,2.666909481,0.005170612,2.645838852,52.82558464
2.898686397,0.002698325,2.877615768,0.002923078,2.898686397,15.22724665,2.898686397,0.002698325,2.877615768,52.68660533
3.130463313,-0.015833612,3.109392684,-0.015608859,3.130463313,14.99993926,3.130463313,-0.015833612,3.109392684,52.61186461
3.362240229,-0.002246249,3.341169601,-0.002021496,3.362240229,14.83687047,3.362240229,-0.002246249,3.341169601,52.46485548
3.594017145,0.003311289,3.572946517,-0.004493783,3.594017145,14.58547361,3.594017145,0.003311289,3.572946517,52.36602529
3.825794062,0.000839001,3.804723433,0.00909358,3.825794062,14.36619604,3.825794062,0.000839001,3.804723433,52.28325475
4.057570978,0.006396539,4.036500349,0.006621293,4.057570978,14.08267988,4.057570978,0.006396539,4.036500349,52.11215614
4.289347894,0.011954077,4.268277265,0.012178831,4.289347894,13.80719354,4.289347894,0.011954077,4.268277265,52.00529612
4.52112481,0.017511615,4.500054182,0.009706544,4.52112481,13.45943877,4.52112481,0.017511615,4.500054182,51.81813786
4.752901727,-0.001020322,4.731831098,0.007234257,4.752901727,13.13577348,4.752901727,-0.001020322,4.731831098,51.71127785
4.984678643,0.012567041,4.963608014,0.012791794,4.984678643,12.75589942,4.984678643,0.012567041,4.963608014,51.55623888
5.216455559,0.026154404,5.19538493,0.018349332,5.216455559,12.38405518,5.216455559,0.026154404,5.19538493,51.3931701
5.448232475,0.015652292,5.427161847,0.02390687,5.448232475,11.98009164,5.448232475,0.015652292,5.427161847,51.20601183
